Date,nat_gas GARCHNet | qlike,nat_gas GARCHNet | mse_var,StaticGARCH | qlike,StaticGARCH | mse_var,GJRGARCH | qlike,GJRGARCH | mse_var,EGARCH | qlike,EGARCH | mse_var,EWMA | qlike,EWMA | mse_var
2021-01-04,-6.070258521966767,1.123130175170443e-06,-6.003767813980855,1.5139985469613185e-06,-5.954692024092191,1.8556119626746821e-06,-5.99893839274037,1.545506909437945e-06,-5.960521259314001,1.8124744347330856e-06
2021-01-05,-5.845467789547901,1.5953325058278795e-07,-5.781120533734286,4.73870441218978e-07,-5.752873626013648,6.489212461068883e-07,-5.783718179869795,4.5893239886258814e-07,-5.753137648282433,6.471764409319935e-07
2021-01-06,-5.608620965568978,1.592307688316836e-08,-5.584547854106345,1.4075650528515748e-07,-5.574013928020362,2.0592059522188218e-07,-5.584405967728776,1.4159519746751816e-07,-5.568559763243724,2.419103477567675e-07
2021-01-07,-6.383183614679316,6.017868091901976e-07,-6.172590111743461,1.4281326734084767e-06,-6.140263638493883,1.6034418783817694e-06,-6.198173153777948,1.2998177616263112e-06,-6.120504985142073,1.7182645639917773e-06
2021-01-08,-6.323858620297654,2.9459413054488776e-07,-6.134893520836569,9.349377873560834e-07,-6.107844336718459,1.0637810535323325e-06,-6.178478027409958,7.490414272004705e-07,-6.087521120457071,1.1678523014978196e-06
2021-01-11,-4.494272440112585,2.0204396783166013e-06,-4.839570082216667,1.0363669259747663e-06,-4.867902859683033,9.167822058442471e-07,-4.778592133603695,1.264563105398159e-06,-4.888502534191515,8.230555336653935e-07
2021-01-12,-5.380636252667907,3.022738199958568e-07,-5.4974611276916665,2.135790022000588e-08,-5.500700359988075,9.085833228692765e-09,-5.484796524357018,6.376688927426703e-08,-5.50255693017959,1.5168440170388347e-09
2021-01-13,-6.272947029642205,7.823917697950212e-08,-6.152074288748633,3.7690839876000065e-07,-6.134585926299448,4.3539244925618376e-07,-6.206816104003832,2.196497556072483e-07,-6.112926016851276,5.137020944483036e-07
2021-01-14,-6.084493463372771,8.517836700887624e-09,-6.031356866047795,1.327153519591064e-07,-6.020204250849629,1.6589034782599373e-07,-6.064415330043124,4.838753952815631e-08,-6.0053957432781955,2.135493812734937e-07
2021-01-15,-5.571101017269796,1.4113171710266217e-07,-5.626117281824692,2.5118215715354604e-08,-5.630746526462623,1.227861505032647e-08,-5.608706806287856,6.723916270026602e-08,-5.633399855171351,4.335059135163482e-09
2021-01-19,-5.697588030927527,5.509857468017112e-08,-5.720821066774827,5.650516912101844e-09,-5.722323009379513,1.726846725480219e-09,-5.712118562824269,2.5910850944764864e-08,-5.722896626426515,1.5138196021240656e-10
2021-01-20,-6.146832490236275,1.3885282552550451e-07,-6.059816830093883,4.0677483452415367e-07,-6.018108345097492,5.774203515555954e-07,-6.072137298165712,3.6182190056270734e-07,-6.0305172711354595,5.235912820008983e-07
2021-01-21,-6.358178549961786,3.680576954039283e-07,-6.269977027243076,6.19946933257556e-07,-6.2173175349187035,8.093431311315063e-07,-6.30850981818485,5.00507503792093e-07,-6.230930527486176,7.573150473359392e-07
2021-01-22,-6.374402345689268,3.772751490567599e-07,-6.3090576354184424,5.539737950776245e-07,-6.255914520839154,7.287448523390043e-07,-6.334592748447574,4.801974447774583e-07,-6.270273147182534,6.785586007104601e-07
2021-01-25,-6.152694377195374,1.3568247623672518e-07,-6.12838525751059,1.9826921084907195e-07,-6.093208519652725,3.040693397291635e-07,-6.137136624042607,1.7476035562078828e-07,-6.103476940657766,2.7128808936031156e-07
2021-01-26,-6.350189709458044,6.491701658496304e-07,-6.300422647552262,8.127798067511934e-07,-6.27765210722298,8.960908882664413e-07,-6.328898109402553,7.161816964886903e-07,-6.263222377665662,9.518161073462905e-07
2021-01-27,-6.123438764327105,1.6338795857076904e-07,-6.082867825290277,2.824820987054376e-07,-6.071410628546082,3.206961177884409e-07,-6.099770131634225,2.2982710142723315e-07,-6.0591530633125394,3.6388221377793394e-07
